mean_test_score,mean_train_score,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_gamma
0.8673110371992223,0.879342092099213,100,0.1,6,1.0,0.7,0.1
0.8796655858445733,0.9107362059211865,300,0.1,6,1.0,0.7,0.1
0.868169719710518,0.8790725205679045,100,0.1,6,1.0,1.0,0.1
0.8803377011916899,0.9123743379607478,300,0.1,6,1.0,1.0,0.1
0.8656688283108535,0.8787324528071505,300,0.1,4,1.0,1.0,0.1
0.8699984679068263,0.8864337517964177,400,0.1,4,1.0,1.0,0.1
0.8803377011916899,0.9123743379607478,300,0.1,6,1.0,1.0,0.1
0.8810841926983226,0.9217510892986134,400,0.1,6,1.0,1.0,0.1
0.8843688472530962,0.9428809324026822,300,0.1,8,1.0,1.0,0.1
0.8843688472530962,0.9428767852621357,400,0.1,8,1.0,1.0,0.1
0.8742162229167713,0.8984107962039273,300,0.2,4,1.0,1.0,0.1
0.8761945312630577,0.9047186714490782,400,0.2,4,1.0,1.0,0.1
0.8804495997058381,0.9299044276394286,300,0.2,6,1.0,1.0,0.1
0.8804495997058381,0.9299044276394286,400,0.2,6,1.0,1.0,0.1
0.8839584273481418,0.9517558795624155,300,0.2,8,1.0,1.0,0.1
0.8839584273481418,0.9517558795624155,400,0.2,8,1.0,1.0,0.1
